Date,Symbol,Action,Quantity,Price,Reasoning
1997-07-03,AMZN,BUY,10,1.911458,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
1997-12-11,AMZN,BUY,10,4.6875,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
1999-02-18,AMZN,SELL,10,44.75,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
1999-03-18,AMZN,BUY,10,69.21875,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
1999-05-20,AMZN,SELL,10,65.40625,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
1999-08-05,AMZN,SELL,10,48.625,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
1999-11-18,AMZN,SELL,10,77.9375,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
2000-01-13,AMZN,SELL,10,65.9375,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
2000-08-31,AMZN,BUY,10,41.5,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
2001-08-02,AMZN,SELL,10,12.19,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
2001-11-15,AMZN,BUY,10,9.05,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
2002-09-05,AMZN,BUY,10,14.25,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
2003-02-13,AMZN,SELL,10,20.059999,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
2004-01-15,AMZN,BUY,10,56.18,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
2004-05-20,AMZN,SELL,10,40.98,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
2006-01-19,AMZN,SELL,10,44.450001,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
2006-07-27,AMZN,SELL,10,26.559999,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
2007-11-08,AMZN,SELL,10,83.580002,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
1997-07-03,AMZN,BUY,10,1.911458,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
1997-12-11,AMZN,BUY,10,4.6875,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
1999-02-18,AMZN,SELL,10,44.75,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
1999-03-18,AMZN,BUY,10,69.21875,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
1999-05-20,AMZN,SELL,10,65.40625,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
1999-08-05,AMZN,SELL,10,48.625,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
1999-11-18,AMZN,SELL,10,77.9375,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
2000-01-13,AMZN,SELL,10,65.9375,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
2000-08-31,AMZN,BUY,10,41.5,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
2001-08-02,AMZN,SELL,10,12.19,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
2001-11-15,AMZN,BUY,10,9.05,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
2002-09-05,AMZN,BUY,10,14.25,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
2003-02-13,AMZN,SELL,10,20.059999,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
2004-01-15,AMZN,BUY,10,56.18,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
2004-05-20,AMZN,SELL,10,40.98,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
2006-01-19,AMZN,SELL,10,44.450001,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
2006-07-27,AMZN,SELL,10,26.559999,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
2007-11-08,AMZN,SELL,10,83.580002,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
