Date,Symbol,Action,Quantity,Price,Reasoning
1997-05-29,AMZN,BUY,10,1.505208,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
1997-06-05,AMZN,BUY,10,1.541667,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
1997-06-12,AMZN,BUY,10,1.604167,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
1997-06-26,AMZN,SELL,10,1.510417,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
1997-07-03,AMZN,BUY,10,1.911458,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
1997-07-10,AMZN,BUY,10,2.5625,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
1997-07-17,AMZN,BUY,10,2.21875,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
1997-07-24,AMZN,BUY,10,2.260417,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
1997-08-14,AMZN,SELL,10,2.15625,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
1997-08-28,AMZN,BUY,10,2.375,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
1997-09-04,AMZN,BUY,10,2.552083,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
1997-09-18,AMZN,BUY,10,3.291667,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
1997-09-25,AMZN,BUY,10,4.078125,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'BUY', 'symbol': 'AMZN', 'quantity': 10}]}"
1997-10-09,AMZN,SELL,10,3.75,"{'risk': 'approved', 'position_size': 10, 'signals': [{'action': 'SELL', 'symbol': 'AMZN', 'quantity': 10}]}"
