Date,Symbol,Action,Quantity,Price,Reasoning
1995-01-07,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-01-14,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-01-21,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-01-28,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-02-04,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-02-11,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-02-18,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-02-25,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-03-04,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-03-11,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-03-18,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-03-25,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-04-01,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-04-08,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-04-15,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-04-22,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-04-29,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-05-06,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-05-13,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-05-20,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-05-27,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-06-03,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-06-10,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-06-17,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-06-24,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-07-01,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-07-08,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-07-15,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-07-22,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-07-29,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-08-05,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-08-12,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-08-19,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-08-26,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-09-02,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-09-09,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-09-16,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-09-23,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-09-30,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-10-07,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-10-14,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-10-21,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-10-28,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-11-04,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-11-11,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-11-18,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-11-25,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-12-02,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-12-09,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-12-16,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-12-23,AMZN,BUY,10,100.0,{'risk': 'none'}
1995-12-30,AMZN,BUY,10,100.0,{'risk': 'none'}
